well_id,production_rate,watercut,pressure_bar,temperature_c,oil_viscosity_cp,reservoir_condition,operating_stage
BGW-015,68.9,17.3,38.8,60.0,1321.2,STABLE PRODUCTION,PRODUCING
BGW-015,66.9,17.4,39.0,60.4,1321.2,STABLE PRODUCTION,PRODUCING
BGW-016,105.1,19.6,39.1,57.0,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,107.3,19.7,39.3,57.4,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,108.9,19.8,39.5,57.8,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,109.6,19.9,39.7,58.2,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,109.2,20.0,39.9,58.6,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,107.8,20.1,40.1,59.0,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-016,105.7,20.2,40.3,59.4,1350.0,THERMALLY STIMULATED,CYCLE 1
BGW-017,139.1,22.4,34.6,60.8,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,141.2,22.5,34.8,61.2,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,142.9,22.6,35.0,61.6,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,143.6,22.7,35.2,62.0,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,143.2,22.8,35.4,62.4,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,141.8,22.9,35.6,62.8,1244.0,PEAK RECOVERY,CYCLE 2
BGW-017,139.7,23.0,35.8,63.2,1244.0,PEAK RECOVERY,CYCLE 2
BGW-018,154.8,25.2,27.6,68.1,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,157.0,25.3,27.8,68.5,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,158.6,25.4,28.0,68.9,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,159.3,25.5,28.2,69.3,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,158.9,25.6,28.4,69.7,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,157.5,25.7,28.6,70.1,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-018,155.4,25.8,28.8,70.5,1040.2,STABLE PRODUCTION,CYCLE 3
BGW-019,150.0,28.0,23.5,76.3,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,152.2,28.1,23.7,76.7,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,153.8,28.2,23.9,77.1,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,154.5,28.3,24.1,77.5,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,154.1,28.4,24.3,77.9,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,152.7,28.5,24.5,78.3,809.8,THERMALLY STIMULATED,PRODUCING
BGW-019,150.7,28.6,24.7,78.7,809.8,THERMALLY STIMULATED,PRODUCING
BGW-020,74.9,30.8,25.4,82.6,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,77.1,30.9,25.6,83.0,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,78.7,31.0,25.8,83.4,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,79.4,31.1,26.0,83.8,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,79.0,31.2,26.2,84.2,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,77.6,31.3,26.4,84.6,633.2,PEAK RECOVERY,CYCLE 1
BGW-020,75.6,31.4,26.6,85.0,633.2,PEAK RECOVERY,CYCLE 1
BGW-021,65.9,14.0,31.8,84.8,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,68.1,14.1,32.0,85.2,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,69.7,14.2,32.2,85.6,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,70.4,14.3,32.4,86.0,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,70.0,14.4,32.6,86.4,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,68.6,14.5,32.8,86.8,572.2,STABLE PRODUCTION,CYCLE 2
BGW-021,66.6,14.6,33.0,87.2,572.2,STABLE PRODUCTION,CYCLE 2
BGW-022,75.8,16.8,37.9,82.1,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,77.9,16.9,38.1,82.5,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,79.6,17.0,38.3,82.9,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,80.3,17.1,38.5,83.3,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,79.9,17.2,38.7,83.7,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,78.5,17.3,38.9,84.1,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-022,76.4,17.4,39.1,84.5,648.1,THERMALLY STIMULATED,CYCLE 3
BGW-023,105.8,19.6,39.1,75.4,834.3,PEAK RECOVERY,PRODUCING
BGW-023,107.9,19.7,39.3,75.8,834.3,PEAK RECOVERY,PRODUCING
BGW-023,109.6,19.8,39.5,76.2,834.3,PEAK RECOVERY,PRODUCING
BGW-023,110.3,19.9,39.7,76.6,834.3,PEAK RECOVERY,PRODUCING
BGW-023,109.9,20.0,39.9,77.0,834.3,PEAK RECOVERY,PRODUCING
BGW-023,108.5,20.1,40.1,77.4,834.3,PEAK RECOVERY,PRODUCING
BGW-023,106.4,20.2,40.3,77.8,834.3,PEAK RECOVERY,PRODUCING
BGW-024,145.0,22.4,34.5,67.2,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,147.2,22.5,34.7,67.6,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,148.8,22.6,34.9,68.0,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,149.5,22.7,35.1,68.4,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,149.1,22.8,35.3,68.8,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,147.7,22.9,35.5,69.2,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-024,145.7,23.0,35.7,69.6,1065.8,STABLE PRODUCTION,CYCLE 1
BGW-025,117.0,25.2,27.5,60.2,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,119.1,25.3,27.7,60.6,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,120.7,25.4,27.9,61.0,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,121.4,25.5,28.1,61.4,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,121.0,25.6,28.3,61.8,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,119.6,25.7,28.5,62.2,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-025,117.6,25.8,28.7,62.6,1261.8,THERMALLY STIMULATED,CYCLE 2
BGW-026,129.5,28.0,23.5,56.9,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,131.7,28.1,23.7,57.3,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,133.3,28.2,23.9,57.7,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,134.0,28.3,24.1,58.1,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,133.6,28.4,24.3,58.5,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,132.2,28.5,24.5,58.9,1353.7,PEAK RECOVERY,CYCLE 3
BGW-026,130.1,28.6,24.7,59.3,1353.7,PEAK RECOVERY,CYCLE 3
BGW-027,122.3,30.8,25.5,58.5,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,124.5,30.9,25.7,58.9,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,126.1,31.0,25.9,59.3,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,126.8,31.1,26.1,59.7,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,126.4,31.2,26.3,60.1,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,125.0,31.3,26.5,60.5,1309.5,STABLE PRODUCTION,PRODUCING
BGW-027,123.0,31.4,26.7,60.9,1309.5,STABLE PRODUCTION,PRODUCING
BGW-028,107.1,14.0,31.9,64.4,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,109.2,14.1,32.1,64.8,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,110.9,14.2,32.3,65.2,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,111.6,14.3,32.5,65.6,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,111.2,14.4,32.7,66.0,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,109.8,14.5,32.9,66.4,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-028,107.7,14.6,33.1,66.8,1144.6,THERMALLY STIMULATED,CYCLE 1
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-029,0.0,99.5,9.2,37.6,28500.0,DEPLETED / HIGH WATERCUT,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-030,0.0,99.5,10.4,36.0,28500.0,DEPLETED / PRESSURE COLLAPSE,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-031,0.0,99.5,11.6,36.8,28500.0,SAND SEVERED / ENDED,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-032,0.0,99.5,8.0,37.6,28500.0,MATURE THERMAL DEPLETION,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-033,0.0,99.5,9.2,36.0,28500.0,CASING CORROSION COLLAPSE,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-034,0.0,99.5,10.4,36.8,28500.0,ECONOMIC CUTOFF REACHED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
BGW-035,0.0,99.5,11.6,37.6,28500.0,FORMATION EXHAUSTED,ENDED
