well_id,stroke_m,spm,vfd_hz,pump_efficiency_pct,rod_load_kn,rod_position_m
BGW-001,3.2,6.5,38.1,90.7,62.7,1.9
BGW-001,3.2,6.5,38.0,91.2,62.9,1.9
BGW-001,3.2,6.5,38.0,91.5,63.0,1.9
BGW-001,3.2,6.5,38.0,91.8,62.9,1.9
BGW-001,3.2,6.5,38.1,91.9,62.8,1.9
BGW-001,3.2,6.6,38.2,92.0,62.4,1.9
BGW-001,3.2,6.6,38.3,92.0,62.0,1.9
BGW-001,3.2,6.7,38.5,91.9,61.4,1.9
BGW-001,3.2,6.8,38.7,91.7,60.8,1.9
BGW-001,3.2,6.8,38.9,91.4,60.1,1.9
BGW-001,3.2,6.9,39.2,91.0,59.3,1.9
BGW-001,3.2,7.1,39.5,90.5,58.5,1.9
BGW-001,3.2,7.2,39.8,90.0,57.6,1.9
BGW-001,3.2,7.3,40.1,89.4,56.8,1.9
BGW-001,3.2,7.4,40.5,88.8,56.0,1.9
BGW-001,3.2,7.6,40.9,88.1,55.3,1.9
BGW-001,3.2,7.7,41.3,87.4,54.6,1.9
BGW-001,3.2,7.9,41.7,86.6,54.1,1.9
BGW-001,3.2,8.0,42.1,85.9,53.6,1.9
BGW-001,3.2,8.2,42.5,85.1,53.3,1.9
BGW-001,3.2,8.3,42.9,84.4,53.1,1.9
BGW-001,3.2,8.5,43.2,83.7,53.0,1.9
BGW-001,3.2,8.6,43.6,83.0,53.1,1.9
BGW-001,3.2,8.7,44.0,82.4,53.3,1.9
BGW-001,3.2,8.9,44.3,81.8,53.6,1.9
BGW-001,3.2,9.0,44.6,81.3,54.1,1.9
BGW-001,3.2,9.1,44.9,80.9,54.7,1.9
BGW-001,3.2,9.2,45.2,80.5,55.3,1.9
BGW-001,3.2,9.3,45.4,80.3,56.1,1.9
BGW-001,3.2,9.3,45.6,80.1,56.8,1.9
BGW-001,3.2,9.4,45.8,80.0,57.7,1.9
BGW-001,3.2,9.5,45.9,80.0,58.5,1.9
BGW-001,3.2,9.5,46.0,80.1,59.3,1.9
BGW-001,3.2,9.5,46.0,80.3,60.1,1.9
BGW-001,3.2,9.5,46.0,80.6,60.8,1.9
BGW-001,3.2,9.5,46.0,81.0,61.5,1.9
BGW-001,3.2,9.5,45.9,81.4,62.0,1.9
BGW-001,3.2,9.4,45.8,81.9,62.5,1.9
BGW-001,3.2,9.4,45.6,82.5,62.8,1.9
BGW-001,3.2,9.3,45.4,83.1,63.0,1.9
BGW-001,3.2,9.2,45.2,83.8,63.0,1.9
BGW-001,3.2,9.1,44.9,84.5,62.9,1.9
BGW-001,3.2,9.0,44.7,85.3,62.7,1.9
BGW-001,3.2,8.9,44.3,86.0,62.3,1.9
BGW-001,3.2,8.8,44.0,86.8,61.8,1.9
BGW-002,3.2,8.0,42.0,92.0,58.0,1.9
BGW-002,3.2,8.1,42.4,92.0,58.8,1.9
BGW-002,3.2,8.3,42.8,91.8,59.6,1.9
BGW-002,3.2,8.4,43.2,91.6,60.4,1.9
BGW-002,3.2,8.6,43.6,91.3,61.1,1.9
BGW-002,3.2,8.7,43.9,90.9,61.7,1.9
BGW-002,3.2,8.8,44.3,90.4,62.2,1.9
BGW-002,3.2,9.0,44.6,89.8,62.6,1.9
BGW-002,3.2,9.1,44.9,89.2,62.9,1.9
BGW-002,3.2,9.2,45.1,88.6,63.0,1.9
BGW-002,3.2,9.3,45.4,87.9,63.0,1.9
BGW-002,3.2,9.3,45.6,87.2,62.8,1.9
BGW-002,3.2,9.4,45.7,86.4,62.5,1.9
BGW-002,3.2,9.4,45.9,85.7,62.1,1.9
BGW-002,3.2,9.5,45.9,84.9,61.6,1.9
BGW-002,3.2,9.5,46.0,84.2,61.0,1.9
BGW-002,3.2,9.5,46.0,83.5,60.3,1.9
BGW-002,3.2,9.5,46.0,82.8,59.5,1.9
BGW-002,3.2,9.5,45.9,82.2,58.7,1.9
BGW-002,3.2,9.4,45.8,81.7,57.9,1.9
BGW-002,3.2,9.4,45.6,81.2,57.0,1.9
BGW-002,3.2,9.3,45.5,80.8,56.2,1.9
BGW-002,3.2,9.2,45.2,80.5,55.5,1.9
BGW-002,3.2,9.1,45.0,80.2,54.8,1.9
BGW-002,3.2,9.0,44.7,80.1,54.2,1.9
BGW-002,3.2,8.9,44.4,80.0,53.7,1.9
BGW-002,3.2,8.8,44.1,80.0,53.4,1.9
BGW-002,3.2,8.6,43.7,80.2,53.1,1.9
BGW-002,3.2,8.5,43.3,80.4,53.0,1.9
BGW-002,3.2,8.4,43.0,80.7,53.0,1.9
BGW-002,3.2,8.2,42.6,81.1,53.2,1.9
BGW-002,3.2,8.1,42.2,81.5,53.5,1.9
BGW-002,3.2,7.9,41.8,82.1,53.9,1.9
BGW-002,3.2,7.8,41.4,82.7,54.5,1.9
BGW-002,3.2,7.6,41.0,83.3,55.1,1.9
BGW-002,3.2,7.5,40.6,84.0,55.8,1.9
BGW-002,3.2,7.3,40.2,84.7,56.6,1.9
BGW-002,3.2,7.2,39.9,85.5,57.4,1.9
BGW-002,3.2,7.1,39.6,86.2,58.3,1.9
BGW-002,3.2,7.0,39.2,87.0,59.1,1.9
BGW-002,3.2,6.9,39.0,87.7,59.9,1.9
BGW-002,3.2,6.8,38.7,88.4,60.6,1.9
BGW-002,3.2,6.7,38.5,89.1,61.3,1.9
BGW-002,3.2,6.6,38.3,89.7,61.9,1.9
BGW-002,3.2,6.6,38.2,90.3,62.3,1.9
BGW-002,3.2,6.5,38.1,90.7,62.7,1.9
BGW-002,3.2,6.5,38.0,91.2,62.9,1.9
BGW-002,3.2,6.5,38.0,91.5,63.0,1.9
BGW-002,3.2,6.5,38.0,91.8,62.9,1.9
BGW-002,3.2,6.5,38.1,91.9,62.8,1.9
BGW-002,3.2,6.6,38.2,92.0,62.4,1.9
BGW-002,3.2,6.6,38.3,92.0,62.0,1.9
BGW-002,3.2,6.7,38.5,91.9,61.4,1.9
BGW-002,3.2,6.8,38.7,91.7,60.8,1.9
BGW-002,3.2,6.8,38.9,91.4,60.1,1.9
BGW-002,3.2,6.9,39.2,91.0,59.3,1.9
BGW-002,3.2,7.1,39.5,90.5,58.5,1.9
BGW-002,3.2,7.2,39.8,90.0,57.6,1.9
BGW-002,3.2,7.3,40.1,89.4,56.8,1.9
BGW-002,3.2,7.4,40.5,88.8,56.0,1.9
BGW-002,3.2,7.6,40.9,88.1,55.3,1.9
BGW-002,3.2,7.7,41.3,87.4,54.6,1.9
BGW-002,3.2,7.9,41.7,86.6,54.1,1.9
BGW-002,3.2,8.0,42.1,85.9,53.6,1.9
BGW-002,3.2,8.2,42.5,85.1,53.3,1.9
BGW-002,3.2,8.3,42.9,84.4,53.1,1.9
BGW-002,3.2,8.5,43.2,83.7,53.0,1.9
BGW-002,3.2,8.6,43.6,83.0,53.1,1.9
BGW-002,3.2,8.7,44.0,82.4,53.3,1.9
BGW-002,3.2,8.9,44.3,81.8,53.6,1.9
BGW-002,3.2,9.0,44.6,81.3,54.1,1.9
BGW-002,3.2,9.1,44.9,80.9,54.7,1.9
BGW-002,3.2,9.2,45.2,80.5,55.3,1.9
BGW-002,3.2,9.3,45.4,80.3,56.1,1.9
BGW-002,3.2,9.3,45.6,80.1,56.8,1.9
BGW-002,3.2,9.4,45.8,80.0,57.7,1.9
BGW-002,3.2,9.5,45.9,80.0,58.5,1.9
BGW-002,3.2,9.5,46.0,80.1,59.3,1.9
BGW-002,3.2,9.5,46.0,80.3,60.1,1.9
BGW-002,3.2,9.5,46.0,80.6,60.8,1.9
BGW-002,3.2,9.5,46.0,81.0,61.5,1.9
BGW-002,3.2,9.5,45.9,81.4,62.0,1.9
BGW-002,3.2,9.4,45.8,81.9,62.5,1.9
BGW-002,3.2,9.4,45.6,82.5,62.8,1.9
BGW-002,3.2,9.3,45.4,83.1,63.0,1.9
BGW-002,3.2,9.2,45.2,83.8,63.0,1.9
BGW-002,3.2,9.1,44.9,84.5,62.9,1.9
BGW-002,3.2,9.0,44.7,85.3,62.7,1.9
BGW-002,3.2,8.9,44.3,86.0,62.3,1.9
BGW-002,3.2,8.8,44.0,86.8,61.8,1.9
BGW-003,3.2,8.0,42.0,92.0,58.0,1.9
BGW-003,3.2,8.1,42.4,92.0,58.8,1.9
BGW-003,3.2,8.3,42.8,91.8,59.6,1.9
BGW-003,3.2,8.4,43.2,91.6,60.4,1.9
BGW-003,3.2,8.6,43.6,91.3,61.1,1.9
BGW-003,3.2,8.7,43.9,90.9,61.7,1.9
BGW-003,3.2,8.8,44.3,90.4,62.2,1.9
BGW-003,3.2,9.0,44.6,89.8,62.6,1.9
BGW-003,3.2,9.1,44.9,89.2,62.9,1.9
BGW-003,3.2,9.2,45.1,88.6,63.0,1.9
BGW-003,3.2,9.3,45.4,87.9,63.0,1.9
BGW-003,3.2,9.3,45.6,87.2,62.8,1.9
BGW-003,3.2,9.4,45.7,86.4,62.5,1.9
BGW-003,3.2,9.4,45.9,85.7,62.1,1.9
BGW-003,3.2,9.5,45.9,84.9,61.6,1.9
BGW-003,3.2,9.5,46.0,84.2,61.0,1.9
BGW-003,3.2,9.5,46.0,83.5,60.3,1.9
BGW-003,3.2,9.5,46.0,82.8,59.5,1.9
BGW-003,3.2,9.5,45.9,82.2,58.7,1.9
BGW-003,3.2,9.4,45.8,81.7,57.9,1.9
BGW-003,3.2,9.4,45.6,81.2,57.0,1.9
BGW-003,3.2,9.3,45.5,80.8,56.2,1.9
BGW-003,3.2,9.2,45.2,80.5,55.5,1.9
BGW-003,3.2,9.1,45.0,80.2,54.8,1.9
BGW-003,3.2,9.0,44.7,80.1,54.2,1.9
BGW-003,3.2,8.9,44.4,80.0,53.7,1.9
BGW-003,3.2,8.8,44.1,80.0,53.4,1.9
BGW-003,3.2,8.6,43.7,80.2,53.1,1.9
BGW-003,3.2,8.5,43.3,80.4,53.0,1.9
BGW-003,3.2,8.4,43.0,80.7,53.0,1.9
BGW-003,3.2,8.2,42.6,81.1,53.2,1.9
BGW-003,3.2,8.1,42.2,81.5,53.5,1.9
BGW-003,3.2,7.9,41.8,82.1,53.9,1.9
BGW-003,3.2,7.8,41.4,82.7,54.5,1.9
BGW-003,3.2,7.6,41.0,83.3,55.1,1.9
BGW-003,3.2,7.5,40.6,84.0,55.8,1.9
BGW-003,3.2,7.3,40.2,84.7,56.6,1.9
BGW-003,3.2,7.2,39.9,85.5,57.4,1.9
BGW-003,3.2,7.1,39.6,86.2,58.3,1.9
BGW-003,3.2,7.0,39.2,87.0,59.1,1.9
BGW-003,3.2,6.9,39.0,87.7,59.9,1.9
BGW-003,3.2,6.8,38.7,88.4,60.6,1.9
BGW-003,3.2,6.7,38.5,89.1,61.3,1.9
BGW-003,3.2,6.6,38.3,89.7,61.9,1.9
BGW-003,3.2,6.6,38.2,90.3,62.3,1.9
BGW-003,3.2,6.5,38.1,90.7,62.7,1.9
BGW-003,3.2,6.5,38.0,91.2,62.9,1.9
BGW-003,3.2,6.5,38.0,91.5,63.0,1.9
BGW-003,3.2,6.5,38.0,91.8,62.9,1.9
BGW-003,3.2,6.5,38.1,91.9,62.8,1.9
BGW-003,3.2,6.6,38.2,92.0,62.4,1.9
BGW-003,3.2,6.6,38.3,92.0,62.0,1.9
BGW-003,3.2,6.7,38.5,91.9,61.4,1.9
BGW-003,3.2,6.8,38.7,91.7,60.8,1.9
BGW-003,3.2,6.8,38.9,91.4,60.1,1.9
BGW-003,3.2,6.9,39.2,91.0,59.3,1.9
BGW-003,3.2,7.1,39.5,90.5,58.5,1.9
BGW-003,3.2,7.2,39.8,90.0,57.6,1.9
BGW-003,3.2,7.3,40.1,89.4,56.8,1.9
BGW-003,3.2,7.4,40.5,88.8,56.0,1.9
BGW-003,3.2,7.6,40.9,88.1,55.3,1.9
BGW-003,3.2,7.7,41.3,87.4,54.6,1.9
BGW-003,3.2,7.9,41.7,86.6,54.1,1.9
BGW-003,3.2,8.0,42.1,85.9,53.6,1.9
BGW-003,3.2,8.2,42.5,85.1,53.3,1.9
BGW-003,3.2,8.3,42.9,84.4,53.1,1.9
BGW-003,3.2,8.5,43.2,83.7,53.0,1.9
BGW-003,3.2,8.6,43.6,83.0,53.1,1.9
BGW-003,3.2,8.7,44.0,82.4,53.3,1.9
BGW-003,3.2,8.9,44.3,81.8,53.6,1.9
BGW-003,3.2,9.0,44.6,81.3,54.1,1.9
BGW-003,3.2,9.1,44.9,80.9,54.7,1.9
BGW-003,3.2,9.2,45.2,80.5,55.3,1.9
BGW-003,3.2,9.3,45.4,80.3,56.1,1.9
BGW-003,3.2,9.3,45.6,80.1,56.8,1.9
BGW-003,3.2,9.4,45.8,80.0,57.7,1.9
BGW-003,3.2,9.5,45.9,80.0,58.5,1.9
BGW-003,3.2,9.5,46.0,80.1,59.3,1.9
BGW-003,3.2,9.5,46.0,80.3,60.1,1.9
BGW-003,3.2,9.5,46.0,80.6,60.8,1.9
BGW-003,3.2,9.5,46.0,81.0,61.5,1.9
BGW-003,3.2,9.5,45.9,81.4,62.0,1.9
BGW-003,3.2,9.4,45.8,81.9,62.5,1.9
BGW-003,3.2,9.4,45.6,82.5,62.8,1.9
BGW-003,3.2,9.3,45.4,83.1,63.0,1.9
BGW-003,3.2,9.2,45.2,83.8,63.0,1.9
BGW-003,3.2,9.1,44.9,84.5,62.9,1.9
BGW-003,3.2,9.0,44.7,85.3,62.7,1.9
BGW-003,3.2,8.9,44.3,86.0,62.3,1.9
BGW-003,3.2,8.8,44.0,86.8,61.8,1.9
