date,well_id,oil_bopd,temperature_c,pressure_bar,watercut
2026-09-21,BGW-006,59.1,59.9,26.1,31.2
2026-09-22,BGW-006,58.3,60.4,26.4,31.3
2026-09-23,BGW-006,61.0,60.9,26.7,31.4
2026-09-17,BGW-007,86.9,63.6,31.2,14.0
2026-09-18,BGW-007,90.3,64.1,31.5,14.1
2026-09-19,BGW-007,90.5,64.6,31.8,14.2
2026-09-20,BGW-007,87.5,65.1,32.1,14.3
2026-09-21,BGW-007,83.9,65.6,32.4,14.4
2026-09-22,BGW-007,83.1,66.1,32.7,14.5
2026-09-23,BGW-007,85.8,66.6,33.0,14.6
2026-09-17,BGW-008,125.1,71.7,37.4,16.8
2026-09-18,BGW-008,128.4,72.2,37.7,16.9
2026-09-19,BGW-008,128.7,72.7,38.0,17.0
2026-09-20,BGW-008,125.6,73.2,38.3,17.1
2026-09-21,BGW-008,122.1,73.7,38.6,17.2
2026-09-22,BGW-008,121.2,74.2,38.9,17.3
2026-09-23,BGW-008,124.0,74.7,39.2,17.4
2026-09-17,BGW-009,160.8,79.4,38.9,19.6
2026-09-18,BGW-009,164.1,79.9,39.2,19.7
2026-09-19,BGW-009,164.4,80.4,39.5,19.8
2026-09-20,BGW-009,161.3,80.9,39.8,19.9
2026-09-21,BGW-009,157.8,81.4,40.1,20.0
2026-09-22,BGW-009,156.9,81.9,40.4,20.1
2026-09-23,BGW-009,159.7,82.4,40.7,20.2
2026-09-17,BGW-010,119.6,83.9,34.4,22.4
2026-09-18,BGW-010,123.0,84.4,34.7,22.5
2026-09-19,BGW-010,123.3,84.9,35.0,22.6
2026-09-20,BGW-010,120.2,85.4,35.3,22.7
2026-09-21,BGW-010,116.6,85.9,35.6,22.8
2026-09-22,BGW-010,115.8,86.4,35.9,22.9
2026-09-23,BGW-010,118.5,86.9,36.2,23.0
2026-09-17,BGW-011,117.5,83.8,27.4,25.2
2026-09-18,BGW-011,120.8,84.3,27.7,25.3
2026-09-19,BGW-011,121.1,84.8,28.0,25.4
2026-09-20,BGW-011,118.0,85.3,28.3,25.5
2026-09-21,BGW-011,114.4,85.8,28.6,25.6
2026-09-22,BGW-011,113.6,86.3,28.9,25.7
2026-09-23,BGW-011,116.4,86.8,29.2,25.8
2026-09-17,BGW-012,102.9,79.0,23.3,28.0
2026-09-18,BGW-012,106.3,79.5,23.6,28.1
2026-09-19,BGW-012,106.5,80.0,23.9,28.2
2026-09-20,BGW-012,103.5,80.5,24.2,28.3
2026-09-21,BGW-012,99.9,81.0,24.5,28.4
2026-09-22,BGW-012,99.1,81.5,24.8,28.5
2026-09-23,BGW-012,101.8,82.0,25.1,28.6
2026-09-17,BGW-013,92.0,71.3,25.0,30.8
2026-09-18,BGW-013,95.4,71.8,25.3,30.9
2026-09-19,BGW-013,95.7,72.3,25.6,31.0
2026-09-20,BGW-013,92.6,72.8,25.9,31.1
2026-09-21,BGW-013,89.0,73.3,26.2,31.2
2026-09-22,BGW-013,88.2,73.8,26.5,31.3
2026-09-23,BGW-013,90.9,74.3,26.8,31.4
2026-09-17,BGW-014,98.7,63.2,31.4,14.0
2026-09-18,BGW-014,102.1,63.7,31.7,14.1
2026-09-19,BGW-014,102.4,64.2,32.0,14.2
2026-09-20,BGW-014,99.3,64.7,32.3,14.3
2026-09-21,BGW-014,95.7,65.2,32.6,14.4
2026-09-22,BGW-014,94.9,65.7,32.9,14.5
2026-09-23,BGW-014,97.6,66.2,33.2,14.6
2026-09-17,BGW-015,66.2,57.7,37.5,16.8
2026-09-18,BGW-015,69.6,58.2,37.8,16.9
2026-09-19,BGW-015,69.9,58.7,38.1,17.0
2026-09-20,BGW-015,66.8,59.2,38.4,17.1
2026-09-21,BGW-015,63.2,59.7,38.7,17.2
2026-09-22,BGW-015,62.4,60.2,39.0,17.3
2026-09-23,BGW-015,65.1,60.7,39.3,17.4
2026-09-17,BGW-016,105.1,56.7,38.8,19.6
2026-09-18,BGW-016,108.5,57.2,39.1,19.7
2026-09-19,BGW-016,108.7,57.7,39.4,19.8
2026-09-20,BGW-016,105.7,58.2,39.7,19.9
2026-09-21,BGW-016,102.1,58.7,40.0,20.0
2026-09-22,BGW-016,101.3,59.2,40.3,20.1
2026-09-23,BGW-016,104.0,59.7,40.6,20.2
2026-09-17,BGW-017,139.1,60.5,34.3,22.4
2026-09-18,BGW-017,142.4,61.0,34.6,22.5
2026-09-19,BGW-017,142.7,61.5,34.9,22.6
2026-09-20,BGW-017,139.6,62.0,35.2,22.7
2026-09-21,BGW-017,136.0,62.5,35.5,22.8
2026-09-22,BGW-017,135.2,63.0,35.8,22.9
2026-09-23,BGW-017,138.0,63.5,36.1,23.0
2026-09-17,BGW-018,154.8,67.8,27.3,25.2
2026-09-18,BGW-018,158.2,68.3,27.6,25.3
2026-09-19,BGW-018,158.4,68.8,27.9,25.4
2026-09-20,BGW-018,155.4,69.3,28.2,25.5
2026-09-21,BGW-018,151.8,69.8,28.5,25.6
2026-09-22,BGW-018,151.0,70.3,28.8,25.7
2026-09-23,BGW-018,153.7,70.8,29.1,25.8
2026-09-17,BGW-019,150.0,76.0,23.2,28.0
2026-09-18,BGW-019,153.4,76.5,23.5,28.1
2026-09-19,BGW-019,153.7,77.0,23.8,28.2
2026-09-20,BGW-019,150.6,77.5,24.1,28.3
2026-09-21,BGW-019,147.0,78.0,24.4,28.4
2026-09-22,BGW-019,146.2,78.5,24.7,28.5
2026-09-23,BGW-019,148.9,79.0,25.0,28.6
2026-09-17,BGW-020,74.9,82.3,25.1,30.8
2026-09-18,BGW-020,78.3,82.8,25.4,30.9
2026-09-19,BGW-020,78.6,83.3,25.7,31.0
2026-09-20,BGW-020,75.5,83.8,26.0,31.1
2026-09-21,BGW-020,71.9,84.3,26.3,31.2
2026-09-22,BGW-020,71.1,84.8,26.6,31.3
2026-09-23,BGW-020,73.8,85.3,26.9,31.4
2026-09-17,BGW-021,65.9,84.5,31.5,14.0
2026-09-18,BGW-021,69.3,85.0,31.8,14.1
2026-09-19,BGW-021,69.6,85.5,32.1,14.2
2026-09-20,BGW-021,66.5,86.0,32.4,14.3
2026-09-21,BGW-021,62.9,86.5,32.7,14.4
2026-09-22,BGW-021,62.1,87.0,33.0,14.5
2026-09-23,BGW-021,64.8,87.5,33.3,14.6
2026-09-17,BGW-022,75.8,81.8,37.6,16.8
2026-09-18,BGW-022,79.2,82.3,37.9,16.9
2026-09-19,BGW-022,79.4,82.8,38.2,17.0
2026-09-20,BGW-022,76.4,83.3,38.5,17.1
2026-09-21,BGW-022,72.8,83.8,38.8,17.2
2026-09-22,BGW-022,72.0,84.3,39.1,17.3
2026-09-23,BGW-022,74.7,84.8,39.4,17.4
2026-09-17,BGW-023,105.8,75.1,38.8,19.6
2026-09-18,BGW-023,109.2,75.6,39.1,19.7
2026-09-19,BGW-023,109.4,76.1,39.4,19.8
2026-09-20,BGW-023,106.4,76.6,39.7,19.9
2026-09-21,BGW-023,102.8,77.1,40.0,20.0
2026-09-22,BGW-023,102.0,77.6,40.3,20.1
2026-09-23,BGW-023,104.7,78.1,40.6,20.2
2026-09-17,BGW-024,145.0,66.9,34.2,22.4
2026-09-18,BGW-024,148.4,67.4,34.5,22.5
2026-09-19,BGW-024,148.7,67.9,34.8,22.6
2026-09-20,BGW-024,145.6,68.4,35.1,22.7
2026-09-21,BGW-024,142.0,68.9,35.4,22.8
2026-09-22,BGW-024,141.2,69.4,35.7,22.9
2026-09-23,BGW-024,143.9,69.9,36.0,23.0
2026-09-17,BGW-025,117.0,59.9,27.2,25.2
2026-09-18,BGW-025,120.3,60.4,27.5,25.3
2026-09-19,BGW-025,120.6,60.9,27.8,25.4
2026-09-20,BGW-025,117.5,61.4,28.1,25.5
2026-09-21,BGW-025,113.9,61.9,28.4,25.6
2026-09-22,BGW-025,113.1,62.4,28.7,25.7
2026-09-23,BGW-025,115.8,62.9,29.0,25.8
2026-09-17,BGW-026,129.5,56.6,23.2,28.0
2026-09-18,BGW-026,132.9,57.1,23.5,28.1
2026-09-19,BGW-026,133.1,57.6,23.8,28.2
2026-09-20,BGW-026,130.1,58.1,24.1,28.3
2026-09-21,BGW-026,126.5,58.6,24.4,28.4
2026-09-22,BGW-026,125.7,59.1,24.7,28.5
2026-09-23,BGW-026,128.4,59.6,25.0,28.6
2026-09-17,BGW-027,122.3,58.2,25.2,30.8
2026-09-18,BGW-027,125.7,58.7,25.5,30.9
2026-09-19,BGW-027,126.0,59.2,25.8,31.0
2026-09-20,BGW-027,122.9,59.7,26.1,31.1
2026-09-21,BGW-027,119.3,60.2,26.4,31.2
2026-09-22,BGW-027,118.5,60.7,26.7,31.3
2026-09-23,BGW-027,121.2,61.2,27.0,31.4
2026-09-17,BGW-028,107.1,64.1,31.6,14.0
2026-09-18,BGW-028,110.5,64.6,31.9,14.1
2026-09-19,BGW-028,110.7,65.1,32.2,14.2
2026-09-20,BGW-028,107.7,65.6,32.5,14.3
2026-09-21,BGW-028,104.1,66.1,32.8,14.4
2026-09-22,BGW-028,103.2,66.6,33.1,14.5
2026-09-23,BGW-028,106.0,67.1,33.4,14.6
2026-09-17,BGW-029,0.0,37.6,9.2,99.5
2026-09-18,BGW-029,0.0,37.6,9.2,99.5
2026-09-19,BGW-029,0.0,37.6,9.2,99.5
2026-09-20,BGW-029,0.0,37.6,9.2,99.5
2026-09-21,BGW-029,0.0,37.6,9.2,99.5
2026-09-22,BGW-029,0.0,37.6,9.2,99.5
2026-09-23,BGW-029,0.0,37.6,9.2,99.5
2026-09-17,BGW-030,0.0,36.0,10.4,99.5
2026-09-18,BGW-030,0.0,36.0,10.4,99.5
2026-09-19,BGW-030,0.0,36.0,10.4,99.5
2026-09-20,BGW-030,0.0,36.0,10.4,99.5
2026-09-21,BGW-030,0.0,36.0,10.4,99.5
2026-09-22,BGW-030,0.0,36.0,10.4,99.5
2026-09-23,BGW-030,0.0,36.0,10.4,99.5
2026-09-17,BGW-031,0.0,36.8,11.6,99.5
2026-09-18,BGW-031,0.0,36.8,11.6,99.5
2026-09-19,BGW-031,0.0,36.8,11.6,99.5
2026-09-20,BGW-031,0.0,36.8,11.6,99.5
2026-09-21,BGW-031,0.0,36.8,11.6,99.5
2026-09-22,BGW-031,0.0,36.8,11.6,99.5
2026-09-23,BGW-031,0.0,36.8,11.6,99.5
2026-09-17,BGW-032,0.0,37.6,8.0,99.5
2026-09-18,BGW-032,0.0,37.6,8.0,99.5
2026-09-19,BGW-032,0.0,37.6,8.0,99.5
2026-09-20,BGW-032,0.0,37.6,8.0,99.5
2026-09-21,BGW-032,0.0,37.6,8.0,99.5
2026-09-22,BGW-032,0.0,37.6,8.0,99.5
2026-09-23,BGW-032,0.0,37.6,8.0,99.5
2026-09-17,BGW-033,0.0,36.0,9.2,99.5
2026-09-18,BGW-033,0.0,36.0,9.2,99.5
2026-09-19,BGW-033,0.0,36.0,9.2,99.5
2026-09-20,BGW-033,0.0,36.0,9.2,99.5
2026-09-21,BGW-033,0.0,36.0,9.2,99.5
2026-09-22,BGW-033,0.0,36.0,9.2,99.5
2026-09-23,BGW-033,0.0,36.0,9.2,99.5
2026-09-17,BGW-034,0.0,36.8,10.4,99.5
2026-09-18,BGW-034,0.0,36.8,10.4,99.5
2026-09-19,BGW-034,0.0,36.8,10.4,99.5
2026-09-20,BGW-034,0.0,36.8,10.4,99.5
2026-09-21,BGW-034,0.0,36.8,10.4,99.5
2026-09-22,BGW-034,0.0,36.8,10.4,99.5
2026-09-23,BGW-034,0.0,36.8,10.4,99.5
2026-09-17,BGW-035,0.0,37.6,11.6,99.5
2026-09-18,BGW-035,0.0,37.6,11.6,99.5
2026-09-19,BGW-035,0.0,37.6,11.6,99.5
2026-09-20,BGW-035,0.0,37.6,11.6,99.5
2026-09-21,BGW-035,0.0,37.6,11.6,99.5
2026-09-22,BGW-035,0.0,37.6,11.6,99.5
2026-09-23,BGW-035,0.0,37.6,11.6,99.5
