well_id,steam_volume_t,injection_pressure_bar,soak_hours,production_cutoff_bopd
BGW-003,1560,85.6,120,25.0
BGW-003,1575,85.5,120,25.0
BGW-003,1590,85.3,120,25.0
BGW-003,1605,85.1,120,25.0
BGW-003,1620,84.9,120,25.0
BGW-003,1635,84.7,120,25.0
BGW-003,1200,84.4,120,25.0
BGW-003,1215,84.1,120,25.0
BGW-003,1230,83.8,120,25.0
BGW-003,1245,83.5,120,25.0
BGW-003,1260,83.2,120,25.0
BGW-003,1275,82.9,120,25.0
BGW-003,1290,82.6,120,25.0
BGW-003,1305,82.2,120,25.0
BGW-003,1320,81.9,120,25.0
BGW-003,1335,81.6,120,25.0
BGW-003,1350,81.2,120,25.0
BGW-003,1365,80.9,120,25.0
BGW-003,1380,80.6,120,25.0
BGW-003,1395,80.3,120,25.0
BGW-003,1410,80.0,120,25.0
BGW-003,1425,79.7,120,25.0
BGW-003,1440,79.4,120,25.0
BGW-003,1455,79.2,120,25.0
BGW-003,1470,79.0,120,25.0
BGW-003,1485,78.8,120,25.0
BGW-003,1500,78.6,120,25.0
BGW-003,1515,78.4,120,25.0
BGW-003,1530,78.3,120,25.0
BGW-003,1545,78.2,120,25.0
BGW-003,1560,78.1,120,25.0
BGW-003,1575,78.0,120,25.0
BGW-003,1590,78.0,120,25.0
BGW-003,1605,78.0,120,25.0
BGW-003,1620,78.0,120,25.0
BGW-003,1635,78.1,120,25.0
BGW-003,1200,78.2,120,25.0
BGW-003,1215,78.3,120,25.0
BGW-003,1230,78.4,120,25.0
BGW-003,1245,78.6,120,25.0
BGW-003,1260,78.7,120,25.0
BGW-003,1275,79.0,120,25.0
BGW-003,1290,79.2,120,25.0
BGW-003,1305,79.4,120,25.0
BGW-003,1320,79.7,120,25.0
BGW-003,1335,80.0,120,25.0
BGW-003,1350,80.3,120,25.0
BGW-003,1365,80.6,120,25.0
BGW-003,1380,80.9,120,25.0
BGW-003,1395,81.2,120,25.0
BGW-003,1410,81.5,120,25.0
BGW-003,1425,81.9,120,25.0
BGW-003,1440,82.2,120,25.0
BGW-003,1455,82.5,120,25.0
BGW-003,1470,82.9,120,25.0
BGW-003,1485,83.2,120,25.0
BGW-003,1500,83.5,120,25.0
BGW-003,1515,83.8,120,25.0
BGW-003,1530,84.1,120,25.0
BGW-003,1545,84.4,120,25.0
BGW-003,1560,84.6,120,25.0
BGW-003,1575,84.9,120,25.0
BGW-003,1590,85.1,120,25.0
BGW-003,1605,85.3,120,25.0
BGW-003,1620,85.5,120,25.0
BGW-003,1635,85.6,120,25.0
